"userID","stimID","timestamp","enforcementType","users_stimuli_enforcementID"
"SSINL2003052","0","2014-03-16 16:58:30","hardEnforce","398"
"SSINL2003057","1","2014-03-16 17:25:17","hardEnforce","399"
"SSINL2003057","1","2014-03-16 17:26:14","hardEnforce","400"
"SSINL2003057","1","2014-03-16 17:26:59","hardEnforce","401"
"SSINL2003057","1","2014-03-16 17:27:23","hardEnforce","402"
"CINTNL3039645","2","2014-03-17 03:15:12","hardEnforce","403"
"CINTNL3039645","2","2014-03-17 03:15:52","hardEnforce","404"
"CINTNL3039659","1","2014-03-17 04:47:07","hardEnforce","405"
"CINTNL3039730","1","2014-03-17 05:11:25","hardEnforce","406"
"CINTNL3039730","1","2014-03-17 05:20:52","hardEnforce","407"
"CINTNL3039730","1","2014-03-17 05:22:55","hardEnforce","408"
"CINTNL3039730","1","2014-03-17 05:39:28","hardEnforce","409"
"CINTNL3039815","2","2014-03-17 06:00:49","softEnforce","410"
"CINTNL3039891","1","2014-03-17 07:43:17","hardEnforce","411"
"SSINL2003117","1","2014-03-17 07:55:50","hardEnforce","412"
"SSINL2003117","1","2014-03-17 07:57:19","hardEnforce","413"
